Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL,
1,6.06,4.98,4.94,3.87,6.65,4.93,6.81,7.64,8.29,8.84,5.92,5.02,5.3,4.76,6.35,5.23,7.09,7.66,9.42,8.7,3.77,3.38,4.85,4.52,5.49,5.99,7.7,7.77,8.61,8.58,3.23,3.74,4.68,3.88,5.31,4.88,6.88,7.15,9.5,8.73,
1,6.36,5.25,4.8,4.42,7.01,6.11,6.84,8.43,9.56,9.29,6.21,4.89,4.53,4.68,6.5,6.03,6.22,8.3,8.72,9.75,3.04,3.39,4.09,3.58,5.62,4.95,7.93,6.65,10,9.28,3.66,2.89,4.45,3.44,5.32,4.98,7.38,6.5,10.26,9.11,
1,6.9,4.91,5.71,4.43,7.14,6.17,7.39,7.45,9.78,9.33,6.32,5.13,5.2,5.14,6.68,6.59,7.21,8.23,9.48,9.57,3.93,3.68,4.8,4,5.61,5.52,6.87,6.75,9.63,8.23,4.69,3.7,4.9,3.89,5.42,5.21,7.12,7.29,10.07,9.17,
1,6.36,5.15,5.24,5.42,6.89,6.16,7.82,8.64,9.94,10.4,6.03,5.47,4.93,4.2,6.45,6.01,7.79,9.22,9.28,11.1,3.51,2.89,3.81,3.53,4.57,4.49,8.02,5.73,10.3,9.64,4.19,3.14,4.34,3.72,5.6,4.88,8,7.35,10.7,9.91,
1,6.64,4.76,5.42,4.7,6.39,5.57,7.09,7.98,8.67,9.96,6.08,5.22,5.64,4.13,6.71,5.03,7.62,7.9,8.51,9.97,3.4,3.43,4.26,3.54,5.73,4.51,7.76,6.55,9.67,8.84,3.63,3.45,4.68,4.08,5.59,5.08,7.55,6.75,9.67,9.52,
1,7.22,4.96,7.19,4.85,7.21,6.13,7.27,8.48,10.55,10.4,6.96,5.2,6.11,4.72,7.08,5.58,7.24,8.69,9.73,9.7,4.49,3.58,4.8,3.96,5.53,5.03,7.61,6.86,11.2,8.49,4.13,3.72,4.76,4.42,4.98,5.49,7.3,7.94,11,9.22,
1,6.37,5.02,5.54,4.61,6.93,6.65,7.31,8.63,9.65,10.79,5.67,4.91,5.2,4.72,6.45,5.98,7.28,9.64,9.67,10.7,3.86,4.64,4.31,5.05,5.37,6.05,7.32,7.81,9.51,9.04,4.17,4.54,3.58,4.85,4.76,5.73,7.28,7.51,9.16,8.82,
1,7.42,5.19,6.26,4.69,7.45,6.11,7.52,8.77,9.31,11.04,7.62,5.22,6.16,5.29,6.76,5.74,8.52,9.12,9.96,10.73,3.86,4.16,4,4.08,5.57,5.21,7.11,6.96,9.5,8.54,3.93,3.92,4.68,4.78,5.58,5.75,6.47,7.15,9.95,8.86,
1,5.99,5.67,5.11,5.93,6.31,6.68,6.85,8.26,7.97,9.05,6.37,5.29,5.19,5.11,5.49,5.78,7.09,8.09,7.45,9.02,3.92,4.63,4.18,3.93,5.55,5.23,7.43,6.77,9.16,8.44,3.69,4.08,3.77,4.16,5.21,5.3,7.39,6.55,9.05,8.45,
1,6.85,4.69,5.52,4.48,5.8,5.26,7.34,7.7,10.29,9.52,6.04,5.14,5.72,5.36,6.96,5.8,7.34,8.25,9.04,9.46,3.25,3.61,4.47,3.93,5.52,5.39,7.73,6.75,9.49,8.32,4.2,3.38,5.17,4.1,4.96,5.41,7.7,6.44,9.8,9.16,
1,6.33,3.61,5.54,3.5,6.09,5.39,6.83,7.43,8.94,8.91,6.23,3.99,5.24,3.37,6.61,5.21,6.75,8.02,10.29,9.53,3.31,3.79,4.19,3.61,5.4,5.06,7.88,6.19,9.43,8.75,3.81,3.62,4.41,3.78,5.25,5.09,7.67,6.41,9.72,9.08,
1,6.15,4.64,5.45,3.99,6.09,5.54,6.74,8.39,11.08,9.17,6.02,4.47,5.06,4.53,6.19,5.41,6.48,8.42,10.76,9.62,3.12,3.45,4.2,3.82,5.9,4.95,7.31,7.14,9.79,9.63,3.37,3.42,4.57,3.39,5.35,5.18,7.8,6.93,10.48,9.12,
1,6.58,4.96,5.31,4.51,6.67,5.44,7.03,8.52,8.84,8.96,6.44,5.03,5.31,4.59,6.25,5.47,6.96,8.42,8.57,9.18,4.46,3.79,4.61,3.69,5.99,5.16,7.33,7.66,9.95,9.11,4.39,3.71,4.67,3.91,6.42,5.22,7.53,6.34,9.98,9.42,
1,6.08,4.62,4.85,5.21,6.65,5.79,6.23,7.81,8.17,9.02,6.04,4.48,5.31,4.38,6.62,5.43,6.02,7.18,8.64,9.55,4.26,3.31,4.2,4.08,4.51,4.26,7.61,6.71,10.25,8.67,4.09,3.37,4.48,3.34,4.53,4.14,7.27,6.92,10.06,8.69,
1,6.28,5.14,5.19,4.93,6.08,3.97,7.62,4.54,8.64,9.62,6.68,4.34,5.41,4.78,6.68,6.97,7.38,8.39,8.58,9.76,3.13,3.27,3.16,3.57,5.53,4.81,7.28,6.65,9.58,9.45,3.57,3.35,3.46,3.22,5.33,5.37,7.61,6.36,10.36,8.98,
1,6.92,5.88,5.3,4.49,6.46,6.11,7.28,8.62,9.5,10.03,6.89,5.52,5.59,4.97,6.71,6.81,7.55,8.81,8.56,10.36,4.46,3.12,4.91,3.78,5.42,5.31,7.41,7.92,9.57,9.44,3.91,3.45,4.46,3.38,5.54,5.72,7.38,8.07,11.29,9.79,
1,6.79,4.64,5.59,4.21,6.18,5.89,7.06,7.81,8.97,9.32,6.36,4.11,5.73,3.9,6.13,5.27,6.89,8.14,8.82,9.59,3.67,3.54,4.27,3.71,5.38,4.93,6.93,7.09,9.6,8.36,3.74,3.49,4.42,4.45,5.57,5.15,6.58,7.33,9.87,9.04,
1,5.42,5.13,4.99,5.12,6.33,5.96,7.64,8.68,8.85,9.97,6.06,5.23,5.53,4.74,6.38,6.08,6.79,8.34,9.19,10.34,3.78,4.04,4.53,4.37,5.43,5.86,7.66,7.86,10.2,9.41,3.72,3.62,5.42,4.46,6.99,5.26,7.34,6.98,10.1,9.38,
1,5.8,4.37,4.9,4.15,6.37,8.93,6.14,7.68,8.79,9.21,6.17,4.11,4.85,3.86,6.24,4.93,6.03,7.25,8.69,9.24,3.68,3.51,4.1,4.14,5.37,4.98,6.37,6.63,8.52,8.22,3.55,4.1,4.64,3.85,5.55,5.14,6.57,6.75,8.91,8.25,
1,6.37,4.62,5.31,3.88,5.64,4.89,6.81,8.69,9.19,9.43,6.16,4.71,5.1,4.33,5.89,6.42,7.23,9,8.59,9.51,3.56,3.27,4.21,3.86,5.62,5.19,7.64,6.67,9.97,8.36,3.89,3.98,4.76,4.49,5.61,5.38,7.81,7.12,9.89,8.69,
1,6.86,4.94,5.67,5.06,6.45,5.26,7.26,7.36,9.64,9.09,6.71,4.92,5.62,5.35,6.73,5.58,7.3,7.83,8.63,9.42,4.06,4.3,4.32,4.11,5.79,5.2,7.4,7.18,10.28,8.35,4.18,4.47,4.78,5.11,5.59,5.63,7.87,6.76,10.01,8.72,
1,6.3,5.54,4.95,4.9,6.68,6.27,6.82,8.62,9.71,9.5,5.84,5.29,5.17,4.95,6.94,6.68,6.57,9.06,9.27,10.4,3.99,3.46,4.18,3.62,5.72,5.12,7.85,7.31,9.89,8.64,4.04,3.37,4.27,3.92,5.3,5.64,8.18,7,10.14,9.39,
1,6.58,5.36,5.43,4.71,5.24,5.58,7.12,8.91,9.83,9.84,6.42,5.41,5.66,5.01,6.06,6.28,7.1,8.81,9.13,9.79,3.56,4.78,4.03,5.16,6.22,6.27,7.08,7.52,10.2,9.65,3.69,4.48,4.6,5.47,5.42,6.59,7.16,8.11,9.84,9.28,
1,5.69,4.76,4.63,4.51,6.52,6.21,6.35,8.68,9.12,9.29,5.57,4.77,4.53,4.52,6.58,6.34,6.59,8.68,8.66,9.42,3.43,3.96,3.94,4.3,5.34,5.13,6.84,7.08,9.28,8.85,3.46,4.47,4.33,4.86,5.66,5.58,7.21,7.59,9.91,9.36,
1,7.3,5.5,6.52,5.49,7.11,6.81,7.67,9.76,10.01,10.55,7.25,6.28,6.38,5.53,6.99,6.23,7.81,10.01,9.07,10.26,4.25,5.25,5.38,4.72,5.8,5.8,8.42,7.81,10.08,9.59,4.35,4.94,5.07,4.5,5.52,6.91,8.13,8.25,10.72,10.5,
1,5.76,5.43,5.01,4.91,6.53,6.39,6.58,7.86,8.89,8.93,5.77,5.44,5.42,4.91,6.28,5.08,7.04,8.59,9.63,9.54,4.4,4.21,4.34,4.1,5.78,5.41,7.36,6.88,10.2,9.5,3.8,3.64,4.82,4.03,5.47,4.95,7.05,6.86,9.78,9.34,
1,6.74,5.63,5,4.36,6.52,5.74,7.53,8.68,9.05,9.79,6.64,5.28,5.4,4.79,6.55,5.53,7.62,8.51,8.82,9.3,3.98,4.19,4.28,4.48,5.46,4.92,7.22,6.87,9.26,8.24,3.81,3.83,4.6,4.04,5.38,4.62,7.27,6.92,9.93,8.82,
1,6.47,5.13,5.37,4.45,6.74,6.16,7.11,8.41,9.68,9.73,6.56,5.12,5.18,4.58,6.84,5.84,7.11,8.84,9.11,9.89,3.53,3.69,3.41,4.13,6.06,4.86,7.94,6.78,9.64,9.13,4.21,3.99,4.69,4.28,6.12,5.64,8.12,7.02,9.65,8.89,
1,6.5,4.06,5.02,4.83,6.88,5.03,7.08,8.65,9.45,9.66,6.66,5.45,5.09,4.05,6.86,5.85,6.93,8.06,8.91,9.66,4.06,5.38,4.47,5.43,6.6,6.42,7.75,7.89,9.84,8.98,4.04,5.63,4.51,5.02,4.92,5.99,8.41,7.18,10.5,9.09,
1,6.19,5.38,5.64,4.55,6.43,6.02,6.97,8.06,8.26,9.19,5.85,4.96,5.25,4.09,6.35,5.09,7.03,7.89,8.33,8.79,4.54,5.45,5.04,4.71,6.26,6.43,8.29,8.64,10.08,8.96,4.11,6.66,5.53,5.79,5.65,5.76,8.12,7.56,9.76,9.24,
1,6.59,5.01,5.67,4.99,7.03,6.98,7.08,7.85,9.78,9.42,6.17,5.07,5.43,4.64,6.68,5.92,3.71,8.46,9.06,9.51,6.14,3.52,4.62,3.82,5.61,4.37,7.07,6.98,10.1,8.76,4.11,3.61,4.89,3.83,6.55,5.36,7.71,6.77,10.1,9.26,
1,6.09,5.62,5.72,4.82,7.28,7.07,7.21,9.99,10,9.76,6.47,5.38,5.81,5.02,7.14,7.3,8.96,10.93,9.81,10.94,4.34,3.96,4.96,5.06,4.92,7.99,8.59,9.79,10.5,4.03,3.8,4.09,4.86,4.67,4.97,5.2,9.1,7.76,10.1,9.96,
1,6.2,5.2,5.43,5.29,6.35,5.59,6.88,8.58,9.23,9.5,6.57,5.22,5.66,5.29,6.11,6.02,7.32,9.55,9.48,10.27,4.08,3.79,4.59,4.08,6.11,5.47,8.58,7.86,9.38,9.44,4.07,4.1,4.84,4.51,5.95,5.1,8.56,7.58,9.71,10.28,
1,6.29,5.06,4.96,5.18,6.3,6.03,6.77,8.32,9.71,9.96,6.23,5.27,4.96,5.13,6.29,5.65,6.94,8.68,8.8,10,3.75,4.28,4.61,5.18,5.58,6,7.81,6.94,10.03,9.21,3.82,5.19,4.95,4.77,5.23,5.6,7.82,7.25,9.93,9.16,
1,6.27,4.83,5.57,4.26,6.8,6.04,6.97,8.41,10.28,10.32,6.44,5.63,5.28,5.26,6.54,6.11,7.33,8.65,9.72,10.39,3.85,5,4.09,3.97,5.51,4.88,7.84,7.46,10.07,9.67,4.28,4.95,4.61,4.82,6.17,5.75,7.38,8.12,11.05,10.51,
1,6.38,5.02,5.23,4.55,6.09,5.58,6.17,7.81,9.13,8.75,6.32,4.67,4.92,4.34,6.36,5.78,6.42,7.84,9.31,9.89,4.11,3.57,4.55,3.47,5.13,4.24,6.7,6.79,9.4,8.16,3.87,3.53,4.68,2.98,4.98,4.51,7.45,6.87,10.02,9.19,
