Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL
0,6.32,5.54,5.26,4.95,5.81,6.11,7.32,9.04,8.74,9.91,6.28,5.44,4.97,4.65,6.25,6.26,6.93,9.15,8.65,9.95,4.59,4.66,4.75,4.65,5.49,5.35,7.51,7.97,10.1,9.51,4.12,4.61,4.65,5.02,5.11,5.57,7.53,8.04,10.1,9.25
0,6.14,4.51,5.63,4.38,5.67,5.43,7.12,8.02,10.5,8.51,6.86,4.91,5.79,4.76,6.41,5.49,7.54,8.82,9.01,9.01,3.82,3.18,4.87,3.71,5.56,4.83,6.87,7.02,9.95,8.26,3.88,3.32,4.49,4.09,5.49,5.01,7.1,6.51,10.2,8.43
0,6.55,6.15,5.89,5.41,6.94,6.19,7.03,8.11,9.31,10.1,6.72,5.62,5.63,4.81,6.94,6.61,7,9.08,10,9.98,4.21,3.85,4.78,4.51,6.24,5.37,8.49,8.13,10.9,9.23,4.65,3.81,4.28,4.89,5.69,5.88,8.42,8.61,11.3,9.52
0,6.33,4.52,5.78,3.74,6.11,5.34,6.91,7.67,9.14,9.37,6.34,4.29,5.43,4.04,6.21,5.35,6.86,8.57,9.16,9.66,3.76,3.55,4.21,3.65,5.57,5.77,6.96,7.61,9.63,8.46,3.47,3.86,4.29,4.38,5.38,5.46,6.61,7.38,9.92,9.24
0,6.03,5.56,5.03,5.04,6.02,6.29,7.52,8.64,10.25,10.36,6.13,5.16,5.39,5.15,6.05,6.41,7.01,9.07,9.24,10.56,4.3,3.93,4.31,4.48,5.13,5.95,7.76,7.36,10.15,9.64,4.04,4.01,4.21,4.71,5.51,6.04,7.35,8.02,10.97,9.64
0,6.34,4.51,5.09,4.46,6.57,5.82,6.69,8.23,9.81,9.28,6.08,4.72,5.06,4.36,6.38,5.75,6.61,9.51,9.87,9.93,4.03,3.41,4.51,3.92,4.89,4.72,6.88,6.76,9.31,8.25,3.99,3.47,4.34,3.85,5.13,5.26,7.06,7.72,9.63,8.86
0,7.02,5.38,6.22,5.54,6.27,6.52,6.57,9.01,8.86,10.23,6.24,5.09,5.91,4.64,6.94,6.04,7.37,8.72,8.51,9.98,4.38,4.37,4.59,4.71,6.18,5.82,6.81,7.37,10.27,8.99,4.18,4.51,3.96,5.48,6.16,5.75,7.54,7.27,10.28,9.25
0,6.61,5.52,5.74,4.94,5.97,5.75,7.37,8.45,9.29,9.55,6.91,5.47,5.56,4.29,6.45,5.56,7.37,8.49,9.74,9.64,4.14,3.69,4.72,4.51,5.51,5.73,7.71,7.89,9.99,8.93,3.89,3.81,4.69,4.52,5.34,6.14,7.64,7.52,9.65,8.79
0,6.34,5.26,4.98,4.79,5.64,5.86,7.13,8.64,9.86,10.34,6.04,5.03,5.47,4.81,5.93,5.97,6.95,8.69,9.26,10.54,3.72,3.43,4.22,4.35,5.69,5.69,8.11,7.07,10.41,9.37,3.53,3.93,4.64,4.34,5.32,5.91,8.33,7.25,10.94,9.34
0,6.03,5.19,4.76,4.92,5.99,6.26,6.91,7.91,8.21,8.91,6.18,5.08,4.63,4.98,5.84,5.89,6.65,8.44,8.29,8.92,3.81,3.43,3.8,3.47,5.61,4.92,6.91,7.31,10.21,8.14,3.98,3.44,4.45,4.08,5.52,5.49,7.02,6.43,10.23,8.23
0,6.22,5.23,5.23,4.93,6.63,6.32,7.32,9.08,9.26,9.94,6.89,4.91,5.27,4.61,6.61,6.26,7.41,9.17,8.5,9.72,4.52,4.95,5.31,5.01,6.16,5.36,8.29,7.58,10.05,10.21,4.39,4.46,5.11,5.38,5.91,5.86,8.31,7.33,10.12,9.15
0,6.64,4.84,5.64,4.28,6.81,5.12,7.94,9.16,9.13,9.71,6.17,4.97,5.54,4.32,5.73,5.71,7.42,9.01,10.25,9.32,4.25,4.12,4.86,4.42,6.06,6.04,8.45,7.53,10.57,9.39,3.87,3.98,4.65,4.35,5.75,5.71,8.75,7.32,11.25,9.48
0,6.55,5.82,5.18,5.19,6.46,6.31,6.92,9.36,8.87,10.25,6.51,5.54,5.31,5.03,6.11,6.68,7.03,9.34,8.51,9.91,3.78,3.82,4.27,4.47,5.62,5.67,7.53,7.07,9.61,8.78,3.96,3.98,4.73,4.55,5.29,5.53,7.58,7.69,9.83,8.88
